Timestamp,Tempo gasto (ms),nf,stress_test
07/03/2025 00:03,454,free5gc-nssf,MEMORY_512_Duration_20
07/03/2025 00:03,454,free5gc-nssf,MEMORY_512_Duration_20
07/03/2025 00:03,451,free5gc-nssf,MEMORY_512_Duration_20
07/03/2025 00:03,469,free5gc-nssf,MEMORY_512_Duration_20
07/03/2025 00:03,463,free5gc-nssf,MEMORY_512_Duration_20
07/03/2025 00:03,500,free5gc-nssf,MEMORY_512_Duration_20
07/03/2025 00:03,487,free5gc-nssf,MEMORY_512_Duration_20
07/03/2025 00:03,463,free5gc-nssf,MEMORY_512_Duration_20
07/03/2025 00:03,456,free5gc-nssf,MEMORY_512_Duration_20
07/03/2025 00:03,459,free5gc-nssf,MEMORY_512_Duration_20
07/03/2025 00:03,456,free5gc-nssf,MEMORY_512_Duration_20
07/03/2025 00:03,519,free5gc-nssf,MEMORY_512_Duration_20
07/03/2025 00:03,457,free5gc-nssf,MEMORY_512_Duration_20
07/03/2025 00:03,459,free5gc-nssf,MEMORY_512_Duration_20
07/03/2025 00:03,459,free5gc-nssf,MEMORY_512_Duration_20
07/03/2025 00:03,458,free5gc-nssf,CPU_50_MEMORY_512_Duration_20
07/03/2025 00:03,464,free5gc-nssf,CPU_50_MEMORY_512_Duration_20
07/03/2025 00:03,464,free5gc-nssf,CPU_50_MEMORY_512_Duration_20
07/03/2025 00:03,476,free5gc-nssf,CPU_50_MEMORY_512_Duration_20
07/03/2025 00:03,454,free5gc-nssf,CPU_50_MEMORY_512_Duration_20
07/03/2025 00:03,466,free5gc-nssf,CPU_50_MEMORY_512_Duration_20
07/03/2025 00:03,455,free5gc-nssf,CPU_50_MEMORY_512_Duration_20
07/03/2025 00:04,455,free5gc-nssf,CPU_50_MEMORY_512_Duration_20
07/03/2025 00:04,463,free5gc-nssf,CPU_50_MEMORY_512_Duration_20
07/03/2025 00:04,464,free5gc-nssf,CPU_50_MEMORY_512_Duration_20
07/03/2025 00:04,514,free5gc-nssf,CPU_50_MEMORY_512_Duration_20
07/03/2025 00:04,481,free5gc-nssf,CPU_50_MEMORY_512_Duration_20
07/03/2025 00:04,497,free5gc-nssf,CPU_50_MEMORY_512_Duration_20
07/03/2025 00:04,455,free5gc-nssf,CPU_50_MEMORY_512_Duration_20
07/03/2025 00:04,495,free5gc-pcf,CPU_50_Duration_20
07/03/2025 00:04,499,free5gc-pcf,CPU_50_Duration_20
07/03/2025 00:04,688,free5gc-pcf,CPU_50_Duration_20
07/03/2025 00:04,794,free5gc-pcf,CPU_50_Duration_20
07/03/2025 00:04,498,free5gc-pcf,CPU_50_Duration_20
07/03/2025 00:04,488,free5gc-pcf,CPU_50_Duration_20
07/03/2025 00:04,496,free5gc-pcf,CPU_50_Duration_20
07/03/2025 00:04,498,free5gc-pcf,CPU_50_Duration_20
07/03/2025 00:04,592,free5gc-pcf,CPU_50_Duration_20
