Timestamp,Tempo gasto (ms),nf,stress_test
07/03/2025 00:08,998,UDR,CPU
07/03/2025 00:08,454,UDR,Memory
07/03/2025 00:08,453,UDR,Memory
07/03/2025 00:08,480,UDR,Memory
07/03/2025 00:08,456,UDR,Memory
07/03/2025 00:08,454,UDR,Memory
07/03/2025 00:08,446,UDR,Memory
07/03/2025 00:08,456,UDR,Memory
07/03/2025 00:08,455,UDR,Memory
07/03/2025 00:08,517,UDR,Memory
07/03/2025 00:08,455,UDR,Memory
07/03/2025 00:08,540,UDR,Memory
07/03/2025 00:08,452,UDR,Memory
07/03/2025 00:08,613,UDR,Memory
07/03/2025 00:08,588,UDR,Memory
07/03/2025 00:08,995,UDR,CPU + Memory
07/03/2025 00:08,1491,UDR,CPU + Memory
07/03/2025 00:08,1406,UDR,CPU + Memory
07/03/2025 00:08,1489,UDR,CPU + Memory
07/03/2025 00:08,997,UDR,CPU + Memory
07/03/2025 00:08,1078,UDR,CPU + Memory
07/03/2025 00:08,1994,UDR,CPU + Memory
07/03/2025 00:08,1295,UDR,CPU + Memory
07/03/2025 00:08,795,UDR,CPU + Memory
07/03/2025 00:08,445,UPF,CPU
07/03/2025 00:08,447,UPF,CPU
07/03/2025 00:08,450,UPF,CPU
07/03/2025 00:08,445,UPF,CPU
07/03/2025 00:08,445,UPF,CPU
07/03/2025 00:08,460,UPF,CPU
07/03/2025 00:08,455,UPF,CPU
07/03/2025 00:09,532,UPF,CPU
07/03/2025 00:09,457,UPF,CPU
07/03/2025 00:09,453,UPF,CPU
07/03/2025 00:09,457,UPF,CPU
07/03/2025 00:09,456,UPF,CPU
07/03/2025 00:09,456,UPF,CPU
07/03/2025 00:09,458,UPF,CPU
07/03/2025 00:09,502,UPF,CPU
07/03/2025 00:09,502,UPF,Memory
07/03/2025 00:09,485,UPF,Memory
07/03/2025 00:09,545,UPF,Memory
07/03/2025 00:09,452,UPF,Memory
07/03/2025 00:09,492,UPF,Memory
07/03/2025 00:09,494,UPF,Memory
07/03/2025 00:09,586,UPF,Memory
07/03/2025 00:09,505,UPF,Memory
07/03/2025 00:09,484,UPF,Memory
07/03/2025 00:09,457,UPF,Memory
07/03/2025 00:09,529,UPF,Memory
07/03/2025 00:09,449,UPF,Memory
07/03/2025 00:09,453,UPF,Memory
07/03/2025 00:09,511,UPF,Memory
07/03/2025 00:09,466,UPF,Memory
07/03/2025 00:09,466,UPF,CPU + Memory
07/03/2025 00:09,456,UPF,CPU + Memory
07/03/2025 00:09,458,UPF,CPU + Memory
07/03/2025 00:09,459,UPF,CPU + Memory
07/03/2025 00:09,453,UPF,CPU + Memory
07/03/2025 00:09,458,UPF,CPU + Memory
07/03/2025 00:09,452,UPF,CPU + Memory
07/03/2025 00:09,463,UPF,CPU + Memory
07/03/2025 00:09,456,UPF,CPU + Memory
07/03/2025 00:09,501,UPF,CPU + Memory
07/03/2025 00:09,454,UPF,CPU + Memory
07/03/2025 00:09,457,UPF,CPU + Memory
07/03/2025 00:09,466,UPF,CPU + Memory
07/03/2025 00:09,495,UPF,CPU + Memory
07/03/2025 00:11,457,ueransim-gnb,CPU
07/03/2025 00:11,456,ueransim-gnb,CPU
07/03/2025 00:11,456,ueransim-gnb,CPU
07/03/2025 00:11,453,ueransim-gnb,CPU
07/03/2025 00:11,452,ueransim-gnb,CPU
07/03/2025 00:11,458,ueransim-gnb,CPU
07/03/2025 00:11,498,ueransim-gnb,CPU
07/03/2025 00:11,462,ueransim-gnb,CPU
07/03/2025 00:11,463,ueransim-gnb,CPU
07/03/2025 00:11,518,ueransim-gnb,CPU
07/03/2025 00:11,456,ueransim-gnb,CPU
07/03/2025 00:11,459,ueransim-gnb,CPU
07/03/2025 00:11,561,ueransim-gnb,CPU
07/03/2025 00:11,493,ueransim-gnb,CPU
07/03/2025 00:11,495,ueransim-gnb,Memory
07/03/2025 00:11,453,ueransim-gnb,Memory
07/03/2025 00:11,458,ueransim-gnb,Memory
07/03/2025 00:11,474,ueransim-gnb,Memory
07/03/2025 00:11,463,ueransim-gnb,Memory
07/03/2025 00:11,523,ueransim-gnb,Memory
07/03/2025 00:11,454,ueransim-gnb,Memory
07/03/2025 00:11,460,ueransim-gnb,Memory
07/03/2025 00:11,454,ueransim-gnb,Memory
07/03/2025 00:11,510,ueransim-gnb,Memory
07/03/2025 00:11,454,ueransim-gnb,Memory
07/03/2025 00:11,457,ueransim-gnb,Memory
07/03/2025 00:11,454,ueransim-gnb,Memory
07/03/2025 00:11,454,ueransim-gnb,Memory
07/03/2025 00:11,456,ueransim-gnb,Memory
07/03/2025 00:11,456,ueransim-gnb,CPU + Memory
07/03/2025 00:11,450,ueransim-gnb,CPU + Memory
07/03/2025 00:11,460,ueransim-gnb,CPU + Memory
07/03/2025 00:11,451,ueransim-gnb,CPU + Memory
07/03/2025 00:11,465,ueransim-gnb,CPU + Memory
07/03/2025 00:11,458,ueransim-gnb,CPU + Memory
07/03/2025 00:11,480,ueransim-gnb,CPU + Memory
07/03/2025 00:11,455,ueransim-gnb,CPU + Memory
07/03/2025 00:11,456,ueransim-gnb,CPU + Memory
07/03/2025 00:11,452,ueransim-gnb,CPU + Memory
07/03/2025 00:11,454,ueransim-gnb,CPU + Memory
07/03/2025 00:11,462,ueransim-gnb,CPU + Memory
07/03/2025 00:12,462,ueransim-gnb,CPU + Memory
07/03/2025 00:12,455,ueransim-gnb,CPU + Memory
