time,voluntary,involuntary,user,system,reads,writes,reads,writes,files,sockets,pipes,inotifies,event,timer,signal,eventpolls,other,limit,minor,major,mem,rss,processes,swap,threads,uptime,vmem,received,sent
2025-03-21 16:23:11,0,0,0,0,0,0,0,0,3,340,340,0,0,0,0,1,0,0.03,0,0,156.54688,170.9102,9,0,43,1269163,843.9258,0.5600576,-0.7840807
2025-03-21 16:23:10,0,0,0,0,0,0,0,0,3,340,340,0,0,0,0,1,0,0.03,0,0,156.54688,170.9102,9,0,43,1269162,843.9258,0.5602774,-0.7843883
2025-03-21 16:23:09,0,0,0,0,0,0,0,0,3,340,340,0,0,0,0,1,0,0.03,0,0,156.54688,170.9102,9,0,43,1269161,843.9258,2.452435,-2.392224
2025-03-21 16:23:08,0,0,0,0,0,0,0,0,3,340,340,0,0,0,0,1,0,0.03,0,0,156.54688,170.9102,9,0,43,1269160,843.9258,6.443437,-5.783597
2025-03-21 16:23:07,0,0,0,0,0,0,0,0,3,340,340,0,0,0,0,1,0,0.03,0,0,156.54688,170.9102,9,0,43,1269159,843.9258,1.1428141,-4.020844
2025-03-21 16:23:06,0,0,0,0,0,0,0,0,3,340,340,0,0,0,0,1,0,0.03,0,0,156.54688,170.9102,9,0,43,1269158,843.9258,4.141681,-11.930927
2025-03-21 16:23:05,0,0,0,0,0,0,0,0,3,340,340,0,0,0,0,1,0,0.03,0,0,156.54688,170.9102,9,0,43,1269157,843.9258,6.954188,-5.169525
2025-03-21 16:23:04,0,0,0,0,0,0,0,0,3,340,340,0,0,0,0,1,0,0.03,0,0,156.54688,170.9102,9,0,43,1269156,843.9258,6.535849,-6.625492
2025-03-21 16:23:03,0,0,0,0,0,0,0,0,3,340,340,0,0,0,0,1,0,0.03,0,0,156.54688,170.9102,9,0,43,1269155,843.9258,10.855266,-8.650607
2025-03-21 16:23:02,0,0,0,0,0,0,0,0,3,340,340,0,0,0,0,1,0,0.03,0,0,156.54688,170.9102,9,0,43,1269154,843.9258,2.906455,-7.564037
2025-03-21 16:23:01,0,0,0,0,0,0,0,0,3,340,340,0,0,0,0,1,0,0.03,0,0,156.54688,170.9102,9,0,43,1269153,843.9258,4.608745,-19.26066
2025-03-21 16:23:00,0,0,0,0,0,0,0,0,3,340,340,0,0,0,0,1,0,0.03,0,0,156.54688,170.9102,9,0,43,1269152,843.9258,7.610458,-6.100881
2025-03-21 16:22:59,0,0,0,0,0,0,0,0,3,340,340,0,0,0,0,1,0,0.03,0,0,156.54688,170.9102,9,0,43,1269151,843.9258,4.748715,-5.493267
2025-03-21 16:22:58,0,0,0,0,0,0,0,0,3,340,340,0,0,0,0,1,0,0.03,0,0,156.54688,170.9102,9,0,43,1269150,843.9258,0.5600645,-0.7840902
2025-03-21 16:22:57,0,0,0,0,0,0,0,0,3,340,340,0,0,0,0,1,0,0.03,0,0,156.54688,170.9102,9,0,43,1269149,843.9258,1.1439573,-2.411354
